dataset_name,proposed_accuracy,proposed_f1_score,proposed_auc,proposed_precision,proposed_recall,baseline_accuracy,baseline_f1_score,baseline_auc,baseline_precision,baseline_recall
bpic2011_f1,0.8127068166776968,0.8131500944444087,0.9080666537072082,0.8229053744131836,0.8127068166776968,0.8324784910655195,0.8329559669796545,0.9231887079918322,0.8375189561631983,0.8324784910655195
bpic2011_f2,0.845114611345883,0.8382123921599232,0.9218101260931258,0.8493410702153191,0.845114611345883,0.8253297477269816,0.8131198370287742,0.9494799069199952,0.8371089898463883,0.8253297477269816
bpic2011_f3,0.8475698840946723,0.8517979894493821,0.9132231627703667,0.8613722604614834,0.8475698840946723,0.8945164118048116,0.8941765889240331,0.9420097184530056,0.8938946992383564,0.8945164118048116
bpic2011_f4,0.8404035178479048,0.8400259943325581,0.903771345885008,0.8399252411297304,0.8404035178479048,0.8352948784273151,0.8340543646068714,0.9003888189508187,0.8350055350066,0.8352948784273151
bpic2012_accepted,0.6210265495814717,0.6166237781845485,0.6678271815117924,0.6337874739965214,0.6210265495814717,0.5879936322086993,0.573999900417033,0.644335737724864,0.6126997995339949,0.5879936322086993
bpic2012_cancelled,0.6752554819493658,0.6790213969877436,0.6916690405250115,0.683821183972804,0.6752554819493658,0.6035793149489036,0.6190106577537948,0.6769592330831288,0.6803081476442113,0.6035793149489036
bpic2012_declined,0.8244492374056386,0.7770245574197862,0.5740892709502814,0.7761161914161862,0.8244492374056386,0.7841241719303651,0.7589791609730763,0.5626514837400332,0.742450433824551,0.7841241719303651
bpic2015_1_f2,0.8895989237366518,0.8817805669842489,0.8317184009816398,0.8891573652715485,0.8895989237366518,0.8850584377364836,0.8801841032635066,0.8983521290559993,0.881181198109032,0.8850584377364836
bpic2015_2_f2,0.9082387765170202,0.9009440818776808,0.8646879220007982,0.9079006114078396,0.9082387765170202,0.9054901684403412,0.8979265188695661,0.9066562620446668,0.9046509146897758,0.9054901684403412
bpic2015_3_f2,0.9101667563206024,0.9042198762614176,0.902338765710203,0.9140532475115078,0.9101667563206024,0.9008151611701908,0.8958667030668297,0.9257524177112902,0.9001132358194182,0.9008151611701908
bpic2015_4_f2,0.8952306489444879,0.8786305516221343,0.7825699070319739,0.8915086233218332,0.8952306489444879,0.8637607505863957,0.8571150476526358,0.8126132414272474,0.8532407511413309,0.8637607505863957
bpic2015_5_f2,0.8449050086355786,0.8415759693483622,0.8829205041106173,0.8439295589030544,0.8449050086355786,0.8508758943992104,0.8482131699283136,0.9196186821255572,0.8497105929845944,0.8508758943992104
production,0.7179261862917399,0.7096382210368929,0.7775501307759373,0.7790353399521983,0.7179261862917399,0.6695957820738138,0.6614141195825072,0.778982438659858,0.7159546177465547,0.6695957820738138
sepsis_cases_1,0.8334700574241182,0.7977757073701292,0.5200452449293179,0.7739709887620949,0.8334700574241182,0.8346185397867104,0.7921666141758024,0.4787529793690233,0.7612035076897684,0.8346185397867104
sepsis_cases_2,0.9269993462628024,0.9208558454795934,0.772368393814561,0.9194572915688972,0.9269993462628024,0.9387666158204402,0.9303374836025124,0.8591948371871573,0.935476804617168,0.9387666158204402
sepsis_cases_4,0.8315846599131693,0.7982785135009987,0.661135363487573,0.7990896819169105,0.8315846599131693,0.8086107091172214,0.7729156722076469,0.6768032116107914,0.7605339503767615,0.8086107091172214
traffic_fines_1,0.6971650212178203,0.6943997467800233,0.7733102355698896,0.7165900989106349,0.6971650212178203,0.6837958398304311,0.6837226040721176,0.7654892837426622,0.6836660575321231,0.6837958398304311
